post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,likes,shares,comments,saves,reach,follows,term,publish_datetime,publish_date,publish_month,publish_weekday,publish_hour,post_format,account_username_clean,account_group,total_engagements,engagement_rate_reach,share_rate_reach,save_rate_reach,like_rate_reach,follow_rate_reach,engagement_rate_views,share_rate_views,save_rate_views,event_name_manual,content_type_manual,cta_type_manual,major_event_manual,auto_content_hint
sample_w25_post_001,sample_w25_account_001,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,04/05/2025 12:22,https://www.instagram.com/p/sample_w25_001/,IG image,,Lifetime,13990,642,254,7,120,9871,0,W25,2025-04-05 12:22:00,2025-04-05,2025-04,Saturday,12,image,uwmathsoc_sample,Partner/Collaborative,1023,0.10363691621922805,0.025731942052476954,0.012156823016918245,0.06503900314051261,0.0,0.07312365975696926,0.018155825589706933,0.008577555396711936,,,,,other
sample_w25_post_002,sample_w25_account_002,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,13,03/21/2025 15:33,https://www.instagram.com/p/sample_w25_002/,IG reel,,Lifetime,15161,542,59,4,138,11517,5,W25,2025-03-21 15:33:00,2025-03-21,2025-03,Friday,15,reel,uwmathsoc_sample,Partner/Collaborative,743,0.06451332812364331,0.005122861856386211,0.011982287053920291,0.04706086654510723,0.0004341408352869671,0.049007321416793086,0.0038915638810104874,0.009102301958973682,,,,,other
sample_w25_post_003,sample_w25_account_003,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,03/12/2025 14:18,https://www.instagram.com/p/sample_w25_003/,IG image,,Lifetime,2935,154,24,5,23,1936,1,W25,2025-03-12 14:18:00,2025-03-12,2025-03,Wednesday,14,image,uwmathsoc_sample,Partner/Collaborative,206,0.10640495867768596,0.012396694214876033,0.011880165289256199,0.07954545454545454,0.0005165289256198347,0.07018739352640545,0.008177172061328791,0.007836456558773424,,,,,other
sample_w25_post_004,sample_w25_account_004,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,10,02/13/2025 07:37,https://www.instagram.com/p/sample_w25_004/,IG reel,,Lifetime,11060,378,129,6,18,4816,4,W25,2025-02-13 07:37:00,2025-02-13,2025-02,Thursday,7,reel,uwmathsoc_sample,Partner/Collaborative,531,0.11025747508305647,0.026785714285714284,0.003737541528239203,0.07848837209302326,0.0008305647840531562,0.04801084990958409,0.01166365280289331,0.0016274864376130199,,,,,other
sample_w25_post_005,sample_w25_account_005,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,03/13/2025 19:35,https://www.instagram.com/p/sample_w25_005/,IG carousel,,Lifetime,2180,70,4,3,20,1725,7,W25,2025-03-13 19:35:00,2025-03-13,2025-03,Thursday,19,carousel,uwmathsoc_sample,Partner/Collaborative,97,0.05623188405797101,0.002318840579710145,0.011594202898550725,0.04057971014492753,0.004057971014492754,0.0444954128440367,0.001834862385321101,0.009174311926605505,,,,,other
sample_w25_post_006,sample_w25_account_006,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,01/12/2025 08:58,https://www.instagram.com/p/sample_w25_006/,IG image,,Lifetime,5768,99,92,5,32,2757,3,W25,2025-01-12 08:58:00,2025-01-12,2025-01,Sunday,8,image,uwmathsoc_sample,Partner/Collaborative,228,0.08269858541893363,0.033369604642727604,0.011606819006166122,0.035908596300326445,0.001088139281828074,0.03952843273231623,0.0159500693481276,0.005547850208044383,,,,,other
sample_w25_post_007,sample_w25_account_007,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,02/21/2025 11:44,https://www.instagram.com/p/sample_w25_007/,IG image,,Lifetime,8427,379,25,4,64,5335,7,W25,2025-02-21 11:44:00,2025-02-21,2025-02,Friday,11,image,uwmathsoc_sample,Partner/Collaborative,472,0.08847235238987816,0.004686035613870665,0.011996251171508904,0.07104029990627929,0.0013120899718837863,0.05601044262489617,0.0029666548000474666,0.007594636288121515,,,,,other
sample_w25_post_008,sample_w25_account_008,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,17,01/29/2025 12:02,https://www.instagram.com/p/sample_w25_008/,IG reel,,Lifetime,1538,62,20,3,4,940,0,W25,2025-01-29 12:02:00,2025-01-29,2025-01,Wednesday,12,reel,uwmathsoc_sample,Partner/Collaborative,89,0.09468085106382979,0.02127659574468085,0.00425531914893617,0.06595744680851064,0.0,0.05786736020806242,0.013003901170351105,0.002600780234070221,,,,,other
sample_w25_post_009,sample_w25_account_009,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,15,02/25/2025 14:45,https://www.instagram.com/p/sample_w25_009/,IG reel,,Lifetime,10911,405,154,2,97,6764,1,W25,2025-02-25 14:45:00,2025-02-25,2025-02,Tuesday,14,reel,uwmathsoc_sample,Partner/Collaborative,658,0.09727971614429332,0.022767593140153756,0.014340626848018923,0.05987581312832643,0.00014784151389710232,0.06030611309687471,0.014114196682247273,0.008890110897259646,,,,,other
sample_w25_post_010,sample_w25_account_010,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,12,02/13/2025 11:30,https://www.instagram.com/p/sample_w25_010/,IG reel,,Lifetime,17546,430,110,0,24,10367,3,W25,2025-02-13 11:30:00,2025-02-13,2025-02,Thursday,11,reel,uwmathsoc_sample,Partner/Collaborative,564,0.05440339538921578,0.010610591299315134,0.0023150381016687565,0.04147776598823189,0.00028937976270859456,0.032144078422432464,0.006269235153311296,0.0013678331243588283,,,,,other
sample_w25_post_011,sample_w25_account_011,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,1911,03/29/2025 13:10,https://www.instagram.com/p/sample_w25_011/,IG reel,,Lifetime,17092,550,522,1,97,13641,3,W25,2025-03-29 13:10:00,2025-03-29,2025-03,Saturday,13,reel,uwmathsoc_sample,Partner/Collaborative,1170,0.08577083791510887,0.03826698922366396,0.007110915622021846,0.040319624660948614,0.00021992522542335605,0.06845307746314065,0.030540603791247366,0.005675169670021063,,,,,other
sample_w25_post_012,sample_w25_account_012,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,02/24/2025 10:31,https://www.instagram.com/p/sample_w25_012/,IG carousel,,Lifetime,11059,150,95,7,19,6368,1,W25,2025-02-24 10:31:00,2025-02-24,2025-02,Monday,10,carousel,uwmathsoc_sample,Partner/Collaborative,271,0.04255653266331658,0.014918341708542714,0.0029836683417085426,0.02355527638190955,0.000157035175879397,0.024504928112849263,0.008590288452843837,0.0017180576905687676,,,,,other
sample_w26_post_001,sample_w26_account_001,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/29/2026 18:02,https://www.instagram.com/p/sample_w26_001/,IG image,,Lifetime,1454,40,16,1,9,853,2,W26,2026-01-29 18:02:00,2026-01-29,2026-01,Thursday,18,image,uwmathsoc_sample,Partner/Collaborative,66,0.07737397420867527,0.01875732708089097,0.010550996483001172,0.04689331770222743,0.0023446658851113715,0.0453920220082531,0.011004126547455296,0.006189821182943604,,,,,other
sample_w26_post_002,sample_w26_account_002,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/06/2026 14:48,https://www.instagram.com/p/sample_w26_002/,IG image,,Lifetime,11925,408,171,7,97,6182,2,W26,2026-01-06 14:48:00,2026-01-06,2026-01,Tuesday,14,image,uwmathsoc_sample,Partner/Collaborative,683,0.11048204464574571,0.027660951148495632,0.015690714978971208,0.06599805888062116,0.00032351989647363315,0.05727463312368973,0.014339622641509434,0.008134171907756813,,,,,other
sample_w26_post_003,sample_w26_account_003,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,02/11/2026 21:34,https://www.instagram.com/p/sample_w26_003/,IG image,,Lifetime,4856,32,64,7,3,1832,1,W26,2026-02-11 21:34:00,2026-02-11,2026-02,Wednesday,21,image,uwmathsoc_sample,Partner/Collaborative,106,0.05786026200873363,0.034934497816593885,0.0016375545851528383,0.017467248908296942,0.0005458515283842794,0.02182866556836903,0.013179571663920923,0.0006177924217462932,,,,,other
sample_w26_post_004,sample_w26_account_004,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,68,03/03/2026 12:29,https://www.instagram.com/p/sample_w26_004/,IG reel,,Lifetime,12219,206,195,6,64,6311,4,W26,2026-03-03 12:29:00,2026-03-03,2026-03,Tuesday,12,reel,uwmathsoc_sample,Partner/Collaborative,471,0.07463159562668358,0.030898431310410396,0.010141023609570591,0.03264141974330534,0.0006338139755981619,0.03854652590228333,0.015958752762091823,0.005237744496276291,,,,,other
sample_w26_post_005,sample_w26_account_005,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/04/2026 22:05,https://www.instagram.com/p/sample_w26_005/,IG image,,Lifetime,6579,236,101,1,60,3361,2,W26,2026-03-04 22:05:00,2026-03-04,2026-03,Wednesday,22,image,uwmathsoc_sample,Partner/Collaborative,398,0.11841713775662005,0.03005058018446891,0.017851829812555786,0.07021719726271942,0.0005950609937518596,0.060495516035871714,0.01535187718498252,0.009119927040583675,,,,,other
sample_w26_post_006,sample_w26_account_006,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/23/2026 16:30,https://www.instagram.com/p/sample_w26_006/,IG image,,Lifetime,1314,45,17,3,11,602,4,W26,2026-01-23 16:30:00,2026-01-23,2026-01,Friday,16,image,uwmathsoc_sample,Partner/Collaborative,76,0.12624584717607973,0.02823920265780731,0.018272425249169437,0.07475083056478406,0.006644518272425249,0.0578386605783866,0.01293759512937595,0.00837138508371385,,,,,other
sample_w26_post_007,sample_w26_account_007,partner_account_sample,Partner Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,63,03/04/2026 11:15,https://www.instagram.com/p/sample_w26_007/,IG reel,,Lifetime,10151,193,70,7,52,3754,4,W26,2026-03-04 11:15:00,2026-03-04,2026-03,Wednesday,11,reel,partner_account_sample,Partner/Collaborative,322,0.08577517314864144,0.018646776771443795,0.013851891315929675,0.0514118273841236,0.0010655301012253596,0.03172101270810757,0.006895872327849473,0.005122648014973894,,,,,other
sample_w26_post_008,sample_w26_account_008,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/18/2026 16:47,https://www.instagram.com/p/sample_w26_008/,IG image,,Lifetime,3858,94,37,0,47,2927,6,W26,2026-01-18 16:47:00,2026-01-18,2026-01,Sunday,16,image,uwmathsoc_sample,Partner/Collaborative,178,0.06081311923471131,0.012640929279125385,0.016057396651861976,0.03211479330372395,0.0020498804236419544,0.04613789528252981,0.009590461378952825,0.012182477967858995,,,,,other
sample_w26_post_009,sample_w26_account_009,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/04/2026 15:43,https://www.instagram.com/p/sample_w26_009/,IG image,,Lifetime,16135,595,324,4,81,9471,5,W26,2026-03-04 15:43:00,2026-03-04,2026-03,Wednesday,15,image,uwmathsoc_sample,Partner/Collaborative,1004,0.1060078133248865,0.034209692746278116,0.008552423186569529,0.06282335550628233,0.0005279273571956499,0.06222497675859932,0.020080570189030058,0.0050201425472575145,,,,,other
sample_w26_post_010,sample_w26_account_010,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/25/2026 13:06,https://www.instagram.com/p/sample_w26_010/,IG image,,Lifetime,10664,73,106,7,38,4277,6,W26,2026-03-25 13:06:00,2026-03-25,2026-03,Wednesday,13,image,uwmathsoc_sample,Partner/Collaborative,224,0.05237315875613748,0.024783726911386486,0.008884732288987608,0.01706803834463409,0.0014028524666822538,0.021005251312828207,0.009939984996249063,0.003563390847711928,,,,,other
