Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Likes,Shares,Comments,Saves,Reach,Follows,term
sample_w26_post_001,sample_w26_account_001,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/29/2026 18:02,https://www.instagram.com/p/sample_w26_001/,IG image,,Lifetime,1454,40,16,1,9,853,2,W26
sample_w26_post_002,sample_w26_account_002,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/06/2026 14:48,https://www.instagram.com/p/sample_w26_002/,IG image,,Lifetime,11925,408,171,7,97,6182,2,W26
sample_w26_post_003,sample_w26_account_003,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,02/11/2026 21:34,https://www.instagram.com/p/sample_w26_003/,IG image,,Lifetime,4856,32,64,7,3,1832,1,W26
sample_w26_post_004,sample_w26_account_004,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,68,03/03/2026 12:29,https://www.instagram.com/p/sample_w26_004/,IG reel,,Lifetime,12219,206,195,6,64,6311,4,W26
sample_w26_post_005,sample_w26_account_005,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/04/2026 22:05,https://www.instagram.com/p/sample_w26_005/,IG image,,Lifetime,6579,236,101,1,60,3361,2,W26
sample_w26_post_006,sample_w26_account_006,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/23/2026 16:30,https://www.instagram.com/p/sample_w26_006/,IG image,,Lifetime,1314,45,17,3,11,602,4,W26
sample_w26_post_007,sample_w26_account_007,partner_account_sample,Partner Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,63,03/04/2026 11:15,https://www.instagram.com/p/sample_w26_007/,IG reel,,Lifetime,10151,193,70,7,52,3754,4,W26
sample_w26_post_008,sample_w26_account_008,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,01/18/2026 16:47,https://www.instagram.com/p/sample_w26_008/,IG image,,Lifetime,3858,94,37,0,47,2927,6,W26
sample_w26_post_009,sample_w26_account_009,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/04/2026 15:43,https://www.instagram.com/p/sample_w26_009/,IG image,,Lifetime,16135,595,324,4,81,9471,5,W26
sample_w26_post_010,sample_w26_account_010,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/25/2026 13:06,https://www.instagram.com/p/sample_w26_010/,IG image,,Lifetime,10664,73,106,7,38,4277,6,W26
sample_w26_post_011,sample_w26_account_011,partner_account_sample,Partner Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,04/05/2026 21:11,https://www.instagram.com/p/sample_w26_011/,IG carousel,,Lifetime,8298,196,90,3,67,3431,5,W26
sample_w26_post_012,sample_w26_account_012,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W26 caption for Instagram content analysis. Original caption removed for privacy.,0,03/02/2026 13:21,https://www.instagram.com/p/sample_w26_012/,IG image,,Lifetime,10280,151,63,1,53,5665,0,W26
